symbol,candidate_security,name,gics_sector_name,industry_sector,id_bb_global,candidate_returned
GSBC,GSBC US Equity,GREAT SOUTHERN BANCORP INC,Financials,Financial,BBG000C2W2R2,True
GSBC,__chosen__,GSBC US Equity,Financials,GICS_SECTOR_NAME,,True
GTES,GTES US Equity,GATES INDUSTRIAL CORP PLC,Industrials,Industrial,BBG00JM9V731,True
GTES,__chosen__,GTES US Equity,Industrials,GICS_SECTOR_NAME,,True
HALO,HALO US Equity,HALOZYME THERAPEUTICS INC,Health Care,"Consumer, Non-cyclical",BBG000CZ8W54,True
HALO,__chosen__,HALO US Equity,Health Care,GICS_SECTOR_NAME,,True
HCCI,HCCI US Equity,HERITAGE-CRYSTAL CLEAN INC,Industrials,Industrial,BBG000CCFB17,True
HCCI,__chosen__,HCCI US Equity,Industrials,GICS_SECTOR_NAME,,True
HLIT,HLIT US Equity,HARMONIC INC,Information Technology,Communications,BBG000BTXZ45,True
HLIT,__chosen__,HLIT US Equity,Information Technology,GICS_SECTOR_NAME,,True
HOMB,HOMB US Equity,HOME BANCSHARES INC,Financials,Financial,BBG000QJXDW9,True
HOMB,__chosen__,HOMB US Equity,Financials,GICS_SECTOR_NAME,,True
HUBG,HUBG US Equity,HUB GROUP INC-CL A,Industrials,Industrial,BBG000G9W6L0,True
HUBG,__chosen__,HUBG US Equity,Industrials,GICS_SECTOR_NAME,,True
HWKN,HWKN US Equity,HAWKINS INC,Materials,Basic Materials,BBG000BLLWV2,True
HWKN,__chosen__,HWKN US Equity,Materials,GICS_SECTOR_NAME,,True
IIPR,IIPR US Equity,INNOVATIVE INDUSTRIAL PROPER,Real Estate,Financial,BBG00F0SW7N8,True
IIPR,__chosen__,IIPR US Equity,Real Estate,GICS_SECTOR_NAME,,True
IMAX,IMAX US Equity,IMAX CORP,Communication Services,"Consumer, Cyclical",BBG000K8KKL9,True
IMAX,__chosen__,IMAX US Equity,Communication Services,GICS_SECTOR_NAME,,True
IMMR,IMMR US Equity,IMMERSION CORPORATION,Information Technology,Technology,BBG000C0ZCX4,True
IMMR,__chosen__,IMMR US Equity,Information Technology,GICS_SECTOR_NAME,,True
INVA,INVA US Equity,INNOVIVA INC,Health Care,"Consumer, Non-cyclical",BBG000CG9XT7,True
INVA,__chosen__,INVA US Equity,Health Care,GICS_SECTOR_NAME,,True
IPAR,IPAR US Equity,INTERPARFUMS INC,Consumer Staples,"Consumer, Non-cyclical",BBG000GCSWR5,True
IPAR,__chosen__,IPAR US Equity,Consumer Staples,GICS_SECTOR_NAME,,True
ITIC,ITIC US Equity,INVESTORS TITLE CO,Financials,Financial,BBG000BM9CT1,True
ITIC,__chosen__,ITIC US Equity,Financials,GICS_SECTOR_NAME,,True
IWM,IWM US Equity,ISHARES RUSSELL 2000 ETF,,Funds,BBG000CGC9C4,True
IWM,__chosen__,IWM US Equity,Funds,INDUSTRY_SECTOR,,True
KFY,KFY US Equity,KORN FERRY,Industrials,"Consumer, Non-cyclical",BBG000C5QMB5,True
KFY,__chosen__,KFY US Equity,Industrials,GICS_SECTOR_NAME,,True
KMPR,KMPR US Equity,KEMPER CORP,Financials,Financial,BBG000H3GDJ8,True
KMPR,__chosen__,KMPR US Equity,Financials,GICS_SECTOR_NAME,,True
LBRT,LBRT US Equity,LIBERTY ENERGY INC,Energy,Energy,BBG00GK831B6,True
LBRT,__chosen__,LBRT US Equity,Energy,GICS_SECTOR_NAME,,True
